GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,62,0,2,2,Improved BasicMCTS,44.0,61.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
879079583,SushiGo,3,GAME_OVER,61,0,2,3,Improved BasicMCTS,41.0,68.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-619666105,SushiGo,3,GAME_OVER,60,0,2,4,Improved BasicMCTS,41.0,61.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
503938916,SushiGo,3,GAME_OVER,64,0,2,5,Improved BasicMCTS,48.0,67.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-428737539,SushiGo,3,GAME_OVER,61,0,2,6,Improved BasicMCTS,46.0,68.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1745970416,SushiGo,3,GAME_OVER,60,0,2,7,Improved BasicMCTS,42.0,63.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1436161366,SushiGo,3,GAME_OVER,61,0,2,8,Improved BasicMCTS,46.0,67.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1151041315,SushiGo,3,GAME_OVER,60,0,2,9,Improved BasicMCTS,49.0,68.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
697067980,SushiGo,3,GAME_OVER,62,0,2,10,Improved BasicMCTS,41.0,59.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1168140970,SushiGo,3,GAME_OVER,62,0,2,11,Improved BasicMCTS,48.0,72.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1491060889,SushiGo,3,GAME_OVER,63,0,2,12,Improved BasicMCTS,46.0,64.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1819802610,SushiGo,3,GAME_OVER,63,0,2,13,Improved BasicMCTS,41.0,56.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-2121274456,SushiGo,3,GAME_OVER,62,0,2,14,Improved BasicMCTS,46.0,56.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
259280696,SushiGo,3,GAME_OVER,60,0,2,15,Improved BasicMCTS,43.0,58.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1706137030,SushiGo,3,GAME_OVER,60,0,2,16,Improved BasicMCTS,43.0,76.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
545138396,SushiGo,3,GAME_OVER,61,0,2,17,Improved BasicMCTS,62.0,59.0,BasicMCTS,1,Improved BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,Improved BasicMCTS,1
1376458976,SushiGo,3,GAME_OVER,62,0,2,18,Improved BasicMCTS,40.0,60.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1195311045,SushiGo,3,GAME_OVER,61,0,2,19,Improved BasicMCTS,44.0,54.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
813477029,SushiGo,3,GAME_OVER,63,0,2,20,Improved BasicMCTS,42.0,60.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1466178614,SushiGo,3,GAME_OVER,61,0,2,21,Improved BasicMCTS,40.0,56.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-118322159,SushiGo,3,GAME_OVER,60,0,2,22,Improved BasicMCTS,46.0,52.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
-1428166355,SushiGo,3,GAME_OVER,61,0,2,23,Improved BasicMCTS,45.0,60.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1144294523,SushiGo,3,GAME_OVER,61,0,2,24,Improved BasicMCTS,60.0,65.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
2100098225,SushiGo,3,GAME_OVER,64,0,2,25,Improved BasicMCTS,42.0,71.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
23994827,SushiGo,3,GAME_OVER,61,0,2,26,Improved BasicMCTS,56.0,67.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
1662792176,SushiGo,3,GAME_OVER,62,0,2,27,Improved BasicMCTS,46.0,58.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
2013120665,SushiGo,3,GAME_OVER,60,0,2,28,Improved BasicMCTS,56.0,50.0,BasicMCTS,1,Improved BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,Improved BasicMCTS,1
-1880183632,SushiGo,3,GAME_OVER,63,0,2,29,Improved BasicMCTS,41.0,55.0,BasicMCTS,2,Improved BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,Improved BasicMCTS,0
